Site,Obs1,Obs2,Obs3,C,T,M,D,Snow1,Snow2,Snow3,Elevation,Min,Max,Snow
/*139t */,0,.,.,0,1,0,0,1,9,9,429,15.91492,31.691298,4.2;
/*13r */,0,.,.,1,0,0,0,0,9,9,595,15.704409,33.34277,3.5;
/*140r */,1,0,0,0,0,1,0,1,1,0,450,15.101578,31.623037,5.6;
/*141r */,1,.,.,0,0,1,0,1,9,9,250,15.162501,32.453903,4.6;
/*142r */,0,.,.,0,0,1,0,0,9,9,449,14.887157,31.76572,4.9;
/*143r */,0,.,.,0,0,1,0,1,9,9,311,16.104763,33.273861,4.3;
/*144r */,1,.,.,0,0,1,0,1,9,9,528,15.706803,31.508745,4.5;
/*144t */,0,.,.,0,1,0,0,1,9,9,510,15.67846,31.508745,4.5;
/*145r */,1,.,.,0,0,1,0,1,9,9,433,15.446435,32.321346,4.0;
/*146r */,0,.,.,0,0,1,0,1,9,9,328,15.161887,32.798786,4.7;
/*147r */,0,0,.,0,0,1,0,1,1,9,424,15.930165,33.377701,5.7;
/*147t */,1,.,.,0,1,0,0,1,9,9,403,15.801659,33.377701,5.7;
/*148r */,1,.,.,0,0,1,0,1,9,9,396,15.63997,31.960154,4.5;
/*149r */,0,.,.,0,0,1,0,1,9,9,528,15.31437,32.269093,4.8;
/*14r */,1,.,.,0,0,1,0,1,9,9,374,14.732082,32.316311,4.6;
/*14t */,1,.,.,0,1,0,0,1,9,9,309,14.732082,32.316311,4.6;
/*150r */,0,.,.,0,0,1,0,1,9,9,426,13.796753,32.166649,5.3;
/*152r */,0,.,.,0,0,1,0,1,9,9,647,15.567101,32.359482,4.3;
