OBJECTID_1,Field1,SiteID,SiteID2,Latitude1,Longitude1,OBJECTID,Join_Count,TARGET_FID,Latitude,Longitude,Elevation,Index,sf1,sd1,dd1,bf1,PercF4500,PercES4500,PercES
109,110,113,113r,41.75296,-78.14018,109,1,109,41.75188525,-78.14163495,707.8956299,145249,164.7001343,76.13923645,-236.1974792,49.55123138,0.849277778,0.009366667,0
110,111,114,114r,41.82893,-79.10189,110,1,110,41.83056759,-79.10248019,507.9450684,300270,162.2863312,72.97306824,-200.3443756,43.52465057,0.837177778,0.0135,0.013888889
111,112,115,115r,41.21698,-78.41833,111,1,111,41.217841,-78.4191587,626.8268433,12488,150.6708527,69.13041687,-200.9551849,43.55431366,0.985355556,0.005922222,0.020833333
112,113,116,116r,41.7408,-78.94286,112,1,112,41.74063515,-78.94273813,542.185791,296551,157.4614258,78.51927948,-222.531662,47.37989426,0.952722222,0.005988889,0.097222222
113,114,117,117r,41.56963,-78.93997,113,1,113,41.57029499,-78.94031974,581.0274658,287691,150.0699768,75.16581726,-222.2006989,47.34150314,0.985588889,0.007633333,0.013888889
114,115,120,120r,41.4162,-78.00921,114,1,114,41.41583949,-78.01137075,505.1348267,57758,111.0540848,66.30258179,-158.883255,36.91115189,0.971711111,0.0069,0
115,116,121,121r,41.82387,-79.20863,115,1,115,41.82517974,-79.21022367,485.6906128,299107,182.6043549,74.4490509,-198.0301056,43.26651001,0.839644444,0.011088889,0
116,117,124,124r,41.70555,-76.21563,116,1,116,41.70615358,-76.21556156,399.4835205,212477,122.0062256,59.91928101,-148.4234467,36.1689682,0.521766667,0.020211111,0
117,118,125,125r,41.09748,-77.02104,117,1,117,41.09695495,-77.01913818,491.603363,23134,130.7574463,57.33520508,-153.6972504,35.59520721,0.773555556,0.014822222,0
118,119,125,125t,41.12271,-76.96781,118,1,118,41.12207959,-76.96820565,152.8508301,28751,72.62698364,37.99816132,-79.39750671,23.27865601,0.564544444,0.003777778,0
119,120,128,128r,41.11439,-76.27303,119,1,119,41.11366095,-76.27330572,366.722229,48799,109.7732086,59.1286087,-152.7242432,35.20467377,0.6438,0.006344444,0
120,121,129,129r,41.2283,-76.44218,120,1,120,41.22898525,-76.44404775,405.3222351,69390,120.3313065,58.03746796,-161.1459808,36.88284683,0.577755556,0.007988889,0.0625
121,122,130,130r,41.75601,-75.68041,121,1,121,41.75629746,-75.67940483,412.7049255,238481,145.635788,70.55581665,-170.8345795,38.5267067,0.660511111,0.026766667,0
122,123,132,132r,41.33371,-75.25058,122,1,122,41.33390714,-75.24832618,530.7403564,152495,141.1320953,73.51279449,-190.071167,41.80634689,0.864611111,0.045277778,0
123,124,133,133r,41.3392,-75.06442,123,1,123,41.33974701,-75.06447876,424.7868958,162765,128.3301239,66.65740204,-161.6531219,36.74872971,0.892077778,0.036555556,0.006944444
124,125,134,134r,41.30954,-77.08431,124,1,124,41.31020548,-77.08475382,231.5611115,65065,85.71863556,41.39367294,-100.3404922,27.08078003,0.522122222,0.0104,0.006944444
125,126,135,135r,41.35666,-79.20795,125,1,125,41.35763794,-79.20821904,478.7262573,275382,118.6030426,62.45001984,-183.9831696,40.96897888,0.910744444,0.011433333,0
126,127,138,138r,41.32258,-76.43182,126,1,126,41.32224664,-76.43109392,660.944458,95690,163.0059662,73.34701538,-231.812561,48.85530472,0.980655556,0.002633333,0
127,128,138,138t,41.31628,-76.43645,127,1,127,41.31660806,-76.43710816,662.9888916,93848,157.5562439,72.09202576,-224.0169678,47.55104446,0.9828,0.0023,0
128,129,139,139r,41.99082,-76.20681,128,1,128,41.99068772,-76.20537998,460.2513733,256697,145.474884,66.39780426,-190.437851,42.03581238,0.654411111,0.017811111,0
129,130,139,139t,41.9925,-76.20335,129,1,129,41.99383637,-76.20447515,443.0110474,256972,142.4820251,65.19102478,-186.694458,41.394104,0.653988889,0.018133333,0.006944444
130,131,140,140r,41.61734,-79.03222,130,1,130,41.61829003,-79.03026511,515.335144,289581,146.9077911,70.54162598,-205.6491241,44.61125565,0.980522222,0.023388889,0
131,132,141,141r,41.62302,-75.99931,131,1,131,41.62285264,-75.99909307,271.0994568,200312,116.2215347,58.83502579,-127.0966873,32.58965683,0.444844444,0.018277778,0.034722222
